Time	Id	PC	Life	CPUtime	Wait	Prev State	New State

0	1	0	0	0	0	New		Ready	
0	2	0	0	0	0	New		Ready	
0	3	0	0	0	0	New		Ready	
0	4	0	0	0	0	New		Ready	
0	5	0	0	0	0	New		Ready	
0	6	0	0	0	0	New		Ready	
0	7	0	0	0	0	New		Ready	
0	8	0	0	0	0	New		Ready	
0	9	0	0	0	0	New		Ready	
0	10	0	0	0	0	New		Ready	
0	11	0	0	0	0	New		Ready	
0	12	0	0	0	0	New		Ready	
0	1	0	0	0	0	Ready		Running	
7	1	7	7	7	0	Running		Terminated
7	2	0	7	0	7	Ready		Running	
10	2	3	10	3	7	Running		Terminated
10	3	0	10	0	10	Ready		Running	
17	3	7	17	7	10	Running		Ready	
17	4	0	17	0	17	Ready		Running	
19	4	2	19	2	17	Running		Terminated
19	5	0	19	0	19	Ready		Running	
23	5	4	23	4	19	Running		Terminated
23	6	0	23	0	23	Ready		Running	
30	6	7	30	7	23	Running		Ready	
30	7	0	30	0	30	Ready		Running	
36	7	6	36	6	30	Running		Terminated
36	8	0	36	0	36	Ready		Running	
43	8	7	43	7	36	Running		Ready	
43	9	0	43	0	43	Ready		Running	
49	9	6	49	6	43	Running		Terminated
49	10	0	49	0	49	Ready		Running	
56	10	7	56	7	49	Running		Ready	
56	11	0	56	0	56	Ready		Running	
58	11	2	58	2	56	Running		Terminated
58	12	0	58	0	58	Ready		Running	
62	12	4	62	4	58	Running		Terminated
62	3	7	62	7	55	Ready		Running	
66	3	11	66	11	55	Running		Terminated
66	6	7	66	7	59	Ready		Running	
67	6	8	67	8	59	Running		Terminated
67	8	7	67	7	60	Ready		Running	
74	8	14	74	14	60	Running		Ready	
74	10	7	74	7	67	Ready		Running	
76	10	9	76	9	67	Running		Terminated
76	8	14	76	14	62	Ready		Running	
83	8	21	83	21	62	Running		Terminated

All 12 processes run 83 ms.
